number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,9390.83369140625,2025-08-30 13:22:45.277292,2025-08-30 13:22:58.643521,0 days 00:00:13.366229,0.5780093202212182,0.7799726016810132,0.22227824312530747,15,437,0.2904180608409973,4.330880728874676,0.7993292420985183,COMPLETE
1,9492.5921875,2025-08-30 13:22:58.643772,2025-08-30 13:23:12.891213,0 days 00:00:14.247441,0.9162213204002109,1.0616955533913808,0.01596950334578271,12,641,0.9091248360355031,0.9170225492671691,0.9849549260809971,COMPLETE
2,9526.22021484375,2025-08-30 13:23:12.891479,2025-08-30 13:23:18.504396,0 days 00:00:05.612917,0.8059264473611898,0.6974693032602092,0.13526405540621356,9,374,1.4607232426760908,1.8318092164684585,0.645614570099021,COMPLETE
3,9278.5984375,2025-08-30 13:23:18.504636,2025-08-30 13:23:31.518836,0 days 00:00:13.014200,0.7962072844310213,0.23225206359998862,0.06790539682592432,13,510,3.0377242595071916,0.8526206184364576,0.7571172192068059,COMPLETE
4,9555.29521484375,2025-08-30 13:23:31.519096,2025-08-30 13:23:36.954925,0 days 00:00:05.435829,0.6523068845866853,0.48836057003191935,0.29003328959162217,15,158,3.4211651325607844,2.2007624686980067,0.9041986740582306,COMPLETE
